state_name,state_abbr,avg_miles_per_driver_2022,police_count_2020,alcohol_gallons_per_capita_2023,pct_pickup_trucks_2022,fatalities_per_100k_1994_2015
Alaska,AK,13090.0,11372,2.85,0.308,11.71167854710743
Alabama,AL,11111.0,1230,1.99,0.205,22.370146188874546
Arizona,AR,17224.0,14658,2.25,0.151,22.18721116988239
Arkansas,AZ,12524.0,6570,1.78,0.243,17.925878572988243
California,CA,12899.0,93682,2.49,0.117,10.428480991280075
Colorado,CO,12117.0,12083,2.88,0.19,12.991516910637593
Connecticut,CT,12609.0,7603,2.4,0.104,8.57079670003376
Delaware,DE,7013.0,2070,3.52,0.136,14.696001173116604
Florida,FL,14557.0,42363,2.61,0.137,16.880791583770957
Georgia,GA,18334.0,22081,1.9,0.16,17.09650995839661
Hawaii,HI,11688.0,3040,2.66,0.16,9.622024824329122
Iowa,IA,14745.0,12159,2.4,0.243,14.147572477945657
Idaho,ID,14417.0,5528,2.94,0.312,17.682322871680125
Illinois,IL,12581.0,2984,2.32,0.129,10.032198364175036
Indiana,IN,18024.0,32528,2.15,0.163,14.017317359760165
Kansas,KS,14781.0,6869,1.92,0.216,16.069462858402918
Kentucky,KY,16305.0,7519,1.95,0.23,19.93162688302323
Louisiana,LA,14951.0,11907,2.55,0.236,19.427264344616074
Massachusetts,MA,13109.0,2363,2.55,0.12,6.403209394272857
Maryland,MD,13490.0,13680,2.08,0.111,10.694418578996519
Maine,ME,14215.0,16430,2.85,0.241,13.460720052393482
Michigan,MI,14307.0,16731,2.36,0.193,11.865095669095671
Minnesota,MN,17909.0,9334,2.79,0.201,10.479497604431565
Missouri,MO,18521.0,6549,2.52,0.196,18.053435176966094
Mississippi,MS,19966.0,13663,2.17,0.21,27.913102947913725
Montana,MT,15880.0,1855,3.1,0.342,24.537210517145557
North Carolina,NC,16073.0,5775,2.13,0.163,17.170496479210666
North Dakota,ND,17671.0,61886,3.16,0.314,16.927349205278038
Nebraska,NE,14846.0,25632,2.16,0.246,14.60915333410508
New Hampshire,NH,11570.0,3747,4.67,0.186,10.087009280071259
New Jersey,NJ,12263.0,2866,2.36,0.08,8.112392047350058
New Mexico,NM,19157.0,26845,2.26,0.241,22.40362409280897
Nevada,NV,14016.0,1680,3.42,0.145,15.1930518269959
New York,NY,10167.0,4156,2.21,0.116,7.3960281979829725
Ohio,OH,14278.0,23103,2.03,0.159,10.962073157896304
Oklahoma,OK,17699.0,8228,1.85,0.245,20.322690127044176
Oregon,OR,12218.0,6191,2.74,0.177,12.535862673054407
Pennslyvania,PA,11445.0,25220,2.34,0.149,11.584872474484913
Rhode Island,RI,9961.0,2425,2.62,0.141,7.053887654680138
South Carolina,SC,14941.0,11891,2.16,0.191,22.529948021215038
South Dakota,SD,15541.0,1600,2.87,0.298,20.167687203062357
Tennessee,TN,15287.0,17737,2.14,0.191,19.688527783440392
Texas,TX,16172.0,57641,2.26,0.192,15.577677398320553
Utah,UT,15516.0,4736,1.35,0.205,12.488471303513665
Virginia,VA,14509.0,1009,2.13,0.142,11.762943872044849
Vermont,VT,13004.0,17703,3.06,0.246,12.822082623449568
Washington,WA,10949.0,10694,2.22,0.183,9.457962465057253
Wisconsin,WI,15442.0,3134,2.93,0.376,12.698094947644744
West Virginia,WV,16876.0,12183,1.74,0.271,20.047024497342036
Wyoming,WY,24069.0,1493,2.78,0.21,29.707106376635032
