year,us_fatality_rate_per_100k
1994,15.647905759162304
1995,15.923234141207693
1996,15.868752125127507
1997,15.697918069836708
1998,15.366106847588329
1999,15.312319737813818
2000,14.878565873441458
2001,14.813095778084861
2002,14.965337049294549
2003,14.787990564310853
2004,14.643151666957525
2005,14.735578716103964
2006,14.3281186516371
2007,13.708266535399025
2008,12.318788054508554
2009,11.056750189428579
2010,10.680438683431474
2011,10.431439610669306
2012,10.7721755219881
2013,10.410128602598652
2014,10.281668897645218
2015,10.933573606529777
